#,Program:featureCounts
Geneid,SRR17446276.bam
AT1G30814,0
AT1G78930,51
AT1G71695,3512
AT1G58983,2
AT1G12980,1
AT1G45223,0
AT1G56250,23
AT1G66852,0
AT1G69810,344
AT1G72450,1202
AT1G76280,373
AT1G65630,2
AT1G71390,0
AT1G56233,0
AT1G15210,1251
AT1G15250,173
AT1G79700,462
AT1G62895,0
AT1G73360,55
AT1G16360,7
AT1G10225,0
AT1G26670,2222
AT1G34855,0
AT1G52200,373
AT1G57800,3
AT1G69460,1409
AT1G04310,290
AT1G08080,0
AT1G75550,14
AT1G71890,15
AT1G05430,700
AT1G80870,365
AT1G75310,1399
AT1G02010,303
AT1G47900,672
AT1G14315,0
AT1G26760,55
AT1G05250,2
AT1G67260,0
AT1G24575,80
AT1G12790,199
AT1G04850,2489
AT1G31760,32
AT1G33250,797
AT1G74000,40
AT1G55580,34
AT1G53903,0
AT1G19715,1624
AT1G69430,69
AT1G53340,51
AT1G29890,1012
AT1G80290,241
AT1G56540,152
AT1G48650,944
AT1G22670,1
AT1G07030,351
AT1G69860,0
AT1G10120,500
AT1G43650,188
AT1G09960,239
AT1G51990,0
AT1G53625,5
AT1G63360,561
AT1G33330,384
AT1G74929,0
AT1G63430,1367
AT1G80720,95
AT1G69770,574
AT1G08460,673
AT1G78710,0
AT1G08610,137
AT1G17540,835
AT1G27380,49
AT1G58643,0
AT1G48953,0
AT1G51440,123
AT1G18871,0
AT1G25210,0
AT1G21610,1121
AT1G79710,204
AT1G80840,401
AT1G71300,0
AT1G49490,166
AT1G23645,0
AT1G09795,1856
AT1G48690,124
AT1G49570,80
AT1G68470,120
AT1G75580,23
AT1G26400,1
AT1G72980,0
AT1G59970,237
AT1G11520,0
AT1G30640,574
AT1G26440,728
AT1G51320,0
AT1G22070,1144
AT1G26700,8
AT1G73603,0
AT1G55650,0
AT1G78180,350
AT1G55928,0
AT1G29880,2376
AT1G53645,424
AT1G06240,447
AT1G72330,286
AT1G20840,2316
AT1G45050,400
AT1G52500,236
AT1G10430,634
AT1G05670,130
AT1G64110,909
AT1G65220,1573
AT1G13635,27
AT1G54950,3
AT1G55730,471
AT1G07310,1495
AT1G77230,71
AT1G52400,4606
AT1G16430,57
AT1G27752,882
AT1G14880,0
AT1G11190,67
AT1G43100,0
AT1G26650,669
AT1G54420,0
AT1G34640,71
AT1G50310,9
AT1G49430,927
AT1G74240,97
AT1G01760,86
AT1G61160,0
AT1G47480,262
AT1G65820,1997
AT1G22900,24
AT1G76820,125
AT1G52080,222
AT1G35180,47
AT1G30070,225
AT1G35210,13
AT1G10410,902
AT1G73740,494
AT1G53350,216
AT1G34110,530
AT1G17240,21
AT1G61730,838
AT1G29260,542
AT1G33890,2
AT1G08040,789
AT1G63522,0
AT1G08810,80
AT1G09210,4289
AT1G70080,1
AT1G10522,516
AT1G04570,62
AT1G01830,484
AT1G12340,1
AT1G67590,817
AT1G69080,69
AT1G31400,0
AT1G74385,0
AT1G73300,23
AT1G05760,0
AT1G30530,367
AT1G12480,16
AT1G76850,2143
AT1G73570,168
AT1G44130,12
AT1G67340,454
AT1G80315,0
AT1G43666,0
AT1G08630,39
AT1G66150,2178
AT1G04640,641
AT1G56500,2804
AT1G12615,0
AT1G77120,5095
AT1G50590,33
AT1G17147,151
AT1G44740,35
AT1G08005,0
AT1G24380,0
AT1G60787,13
AT1G26796,0
AT1G68500,61
AT1G15500,6119
AT1G77760,23006
AT1G24062,0
AT1G53510,1281
AT1G51410,1
AT1G50020,837
AT1G22370,908
AT1G53265,0
AT1G17270,170
AT1G74350,36
AT1G75230,298
AT1G29150,2127
AT1G17140,978
AT1G08380,45552
AT1G43560,1258
AT1G07700,860
AT1G33750,113
AT1G61270,1
AT1G14750,43
AT1G05900,266
AT1G44120,4
AT1G52990,7
AT1G37130,26668
AT1G48175,384
AT1G72140,158
AT1G66465,10
AT1G43260,0
AT1G14420,9
AT1G01710,974
AT1G44000,1405
AT1G73960,1037
AT1G11360,703
AT1G04490,33
AT1G78476,14
AT1G15310,232
AT1G13300,391
AT1G55530,860
AT1G47350,0
AT1G74458,128
AT1G32120,175
AT1G17260,54
AT1G32660,0
AT1G31480,429
AT1G17500,940
AT1G50780,1
AT1G21150,77
AT1G78110,488
AT1G80080,206
AT1G23260,1063
AT1G09790,1
AT1G60270,205
AT1G25400,101
AT1G77980,0
AT1G43140,26
AT1G42470,1432
AT1G34170,0
AT1G56150,20
AT1G75520,33
AT1G53890,0
AT1G43722,0
AT1G73370,188
AT1G01230,919
AT1G70700,1909
AT1G02380,105
AT1G48870,55
AT1G69280,68
AT1G36950,0
AT1G12430,618
